id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,大手町店 | バリッシモ,東京都,千代田区,丸の内１-３-２三井住友銀行ビル東館Ｂ１Ｆ,大手町駅徒歩3分以内,03-6213-6061,"平日:07:00 - 22:00
土曜日:11:00 - 17:00
日祝:-",http://sasp.mapion.co.jp/b/doutor/info/05008006/,TRUE,FALSE,TRUE,FALSE,35.6848478,139.7636596,"90席
(禁煙:64/喫煙:26)"
1,有楽町イトシア店 | バリッシモ,東京都,千代田区,有楽町２-７-１有楽町イトシアイトシアプラザ１Ｆ,有楽町駅徒歩3分以上,03-3211-3325,"平日:09:00 - 23:00
土曜日:09:00 - 23:00
日祝:09:00 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000204/,FALSE,FALSE,TRUE,FALSE,35.6740023,139.7632739,"69席
(禁煙:52/喫煙:17)"
