id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,アトレ大井町店 | カフェ マウカメドウズ ,東京都,品川区,大井町１-２-１アトレ大井町５Ｆ,大井町駅徒歩2分以上,03-5709-7348,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/06062002/,FALSE,TRUE,FALSE,FALSE,35.606418,139.734806,"56席
(禁煙:40/喫煙:16)"
1,横浜ランドマークプラザ店 | カフェ マウカメドウズ ,神奈川県,横浜市,西区みなとみらい２-２-１横浜ランドマークプラザ２Ｆ,みなとみらい駅徒歩5分以上,045-222-5225,"平日:08:00 - 22:00
土曜日:08:00 - 22:00
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/06062009/,FALSE,TRUE,FALSE,FALSE,35.4545263,139.6306663,"43席
(禁煙:26/喫煙:17)"
2,相模大野ステーションスクエア店 | カフェ マウカメドウズ ,神奈川県,相模原市,南区相模大野３-８-１相模大野ステーションスクエア５Ｆ,相模大野駅徒歩3分以内,042-767-1068,"平日:10:00 - 21:00
土曜日:10:00 - 21:00
日祝:10:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/06062011/,FALSE,TRUE,FALSE,FALSE,35.531402,139.4372428,"32席
(禁煙:32/喫煙:0)"
3,マウカキッチン・赤坂インターシティＡＩＲ店,東京都,港区,赤坂１-８-１赤坂インターシティＡＩＲ１Ｆ,溜池山王駅徒歩3分以上,03-6441-2591,"平日:07:00 - 23:30
土曜日:08:00 - 23:30
日祝:08:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/06066301/,TRUE,TRUE,FALSE,FALSE,35.6689554,139.7424997,"60席
(禁煙:60/喫煙:0)"
