id,name,prefecture,city,other_address,access,tel,business_hour,hp,wifi,socket,smoking,iccard,lon,lat,chair
0,ＣＩＡＬ鎌倉店 | カフェ レクセル,神奈川県,鎌倉市,小町１-１-１シァル鎌倉,鎌倉駅徒歩2分以上,0467-61-0636,"平日:07:00 - 22:00
土曜日:07:00 - 22:00
日祝:07:00 - 22:00",http://sasp.mapion.co.jp/b/doutor/info/05000259/,TRUE,TRUE,TRUE,FALSE,35.3188535,139.5506384,"75席
(禁煙:75/喫煙:0)"
1,ＣＩＡＬ桜木町店 | カフェ レクセル,神奈川県,横浜市,中区桜木町１-１-８４シアル桜木町,桜木町駅徒歩2分以上,045-662-0677,"平日:07:30 - 23:00
土曜日:07:30 - 23:00
日祝:07:30 - 23:00",http://sasp.mapion.co.jp/b/doutor/info/05000248/,TRUE,TRUE,TRUE,FALSE,35.451581,139.6305397,"51席
(禁煙:51/喫煙:0)"
2,丸の内ビルディング店 | カフェ レクセル,東京都,千代田区,丸の内２-４-１丸の内ビルディング４Ｆ,東京駅徒歩1分以上,03-5219-1640,"平日:11:00 - 21:00
土曜日:11:00 - 21:00
日祝:11:00 - 20:00",http://sasp.mapion.co.jp/b/doutor/info/05000246/,TRUE,TRUE,TRUE,FALSE,35.6811829,139.7637704,"56席
(禁煙:56/喫煙:0)"
3,東京国際フォーラム店 | カフェ レクセル,東京都,千代田区,丸の内３-５-１東京国際フォーラムＢ１Ｆ,銀座一丁目駅徒歩2分以上,03-3201-5706,"平日:07:30 - 22:00
土曜日:08:00 - 21:00
日祝:08:00 - 21:00",http://sasp.mapion.co.jp/b/doutor/info/05000257/,FALSE,TRUE,TRUE,FALSE,35.6766572,139.7642996,"41席
(禁煙:41/喫煙:0)"
